    |   'asCast'    |    'attrib'    |    'bitAnd'    |    'bitOr'     |   'bitShift'   |    'bitXor'    |     'bool'     |     'char'     |   'clBraces'   |  'clBrackets'  |   'clParen'    |    'comma'     |   'elifSel'    |   'elseSel'    |  'entryPoint'  |   'eqOrDiff'   |     'exp'      |   'function'   |      'id'      |    'ifSel'     |     'int'      |    'isType'    |   'logicAnd'   |   'logicOr'    |    'minus'     |     'mult'     |      'of'      |   'opBraces'   |  'opBrackets'  |   'opParen'    |     'plus'     |     'real'     |  'relational'  |    'repeat'    |  'returnFun'   |    'scynot'    |    'string'    |      'to'      |  'typeArray'   |   'typeBool'   |   'typeChar'   |   'typeInt'    |   'typeReal'   |  'typeString'  |    'unary'     |  'whileLoop'   |      EOF       |     Array      |    ArrayPos    |     Attrib     |      Body      |      Code      |    DeclFunc    |  DeclFuncOpt   |    DeclVars    |      ElIf      |    ElIfAux     |      Expr      |    ExprAdd     |    ExprAnd     |    ExprBand    |    ExprBor     |    ExprBxor    |    ExprCast    |     ExprEq     |    ExprFac     |    ExprMult    |    ExprPow     |    ExprRel     |   ExprShift    |   ExprUnary    |    FuncCall    |  FuncDeclVar   |    IdsList     |       If       |   LeftAttrib   |      Line      |     Lines      |    Literal     |      Loop      |   ParamList    |   Statement    |      Type      |   TypeArray    |     Value
I_0 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       s2       |     Error      |     Error      |       s1       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       3        |       4        |       5        |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_1 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       s6       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_2 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       s1       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       7        |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_3 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |    Accepted    |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_4 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      | r1 DeclFuncOpt |     Error      |     Error      | r1 DeclFuncOpt |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      | r1 DeclFuncOpt |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_5 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       s2       |     Error      |     Error      |       s1       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |    r1 Code     |     Error      |     Error      |     Error      |     Error      |       8        |       4        |       5        |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_6 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       s9       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_7 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      | r0 DeclFuncOpt |     Error      |     Error      | r0 DeclFuncOpt |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      | r0 DeclFuncOpt |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_8 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |    r0 Code     |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_9 |    Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |      s13       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |      s11       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |       10       |       12       |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
